Index	Date	Time	Monitor Status (1 = valid)	Extras	Monitor #	IGNORE	Data Type	Unused	Light Sensor	Vial 1	Vial 2	Vial 3	Vial 4	Vial 5	Vial 6	Vial 7	Vial 8	Vial 9	Vial 10	Vial 11	Vial 12		AVG						
2145	3-Aug-23	21:00:00	1	119	3	0	CT	0	1	194	166	190	99	182	171	98	136	53	135	0	169		126.8						
2265	3-Aug-23	21:30:00	1	119	3	0	CT	0	1	190	110	213	47	151	152	185	150	160	140	107	180		143.2						
2385	3-Aug-23	22:00:00	1	119	3	0	CT	0	0	251	217	214	242	166	190	165	197	168	200	190	236		202.2						
2505	3-Aug-23	22:30:00	1	119	3	0	CT	0	0	163	250	170	40	204	169	167	138	68	174	138	186		152.3						
2625	3-Aug-23	23:00:00	1	119	3	0	CT	0	0	181	216	186	24	177	172	129	148	182	160	113	190		153.2						
2745	3-Aug-23	23:30:00	1	119	3	0	CT	0	0	142	191	144	43	144	194	122	115	106	207	148	167		137.2						
2865	4-Aug-23	0:00:00	1	119	3	0	CT	0	0	131	117	186	74	124	153	64	123	134	216	129	183		123.2						
2985	4-Aug-23	0:30:00	1	119	3	0	CT	0	0	136	118	172	0	186	129	86	164	113	184	152	173		125.7						
3105	4-Aug-23	1:00:00	1	119	3	0	CT	0	0	96	206	170	0	169	131	86	161	124	108	110	155		123.8						
3225	4-Aug-23	1:30:00	1	119	3	0	CT	0	0	112	139	160	45	160	8	100	129	74	0	39	112		91.8						
3345	4-Aug-23	2:00:00	1	119	3	0	CT	0	0	126	78	172	0	115	30	89	79	85	0	92	156		85						
3465	4-Aug-23	2:30:00	1	119	3	0	CT	0	0	171	102	165	87	126	10	0	68	72	0	16	4		65.6						
3585	4-Aug-23	3:00:00	1	119	3	0	CT	0	0	163	60	132	209	192	100	66	72	75	0	63	4		100.4						
3705	4-Aug-23	3:30:00	1	119	3	0	CT	0	0	106	39	154	23	88	183	94	66	102	0	70	6		77.7						
3825	4-Aug-23	4:00:00	1	119	3	0	CT	0	0	66	121	162	53	90	30	32	68	84	0	2	93		63.9						
3945	4-Aug-23	4:30:00	1	119	3	0	CT	0	0	65	2	144	0	107	0	0	69	88	0	65	187		58.3						
4065	4-Aug-23	5:00:00	1	119	3	0	CT	0	0	0	67	115	0	69	98	56	95	62	0	75	0		52.2						
4185	4-Aug-23	5:30:00	1	119	3	0	CT	0	0	143	173	92	127	110	86	65	54	129	0	67	95		104.9						
4305	4-Aug-23	6:00:00	1	119	3	0	CT	0	0	0	4	149	153	136	162	49	0	49	0	31	42		62.6						
4425	4-Aug-23	6:30:00	1	119	3	0	CT	0	0	43	115	143	0	7	0	12	0	26	0	0	0		20.3						
4545	4-Aug-23	7:00:00	1	119	3	0	CT	0	0	5	0	115	0	40	0	20	47	64	0	0	0		17.6						
4665	4-Aug-23	7:30:00	1	119	3	0	CT	0	0	79	104	35	0	174	77	37	0	39	0	85	37		63.2						
4785	4-Aug-23	8:00:00	1	119	3	0	CT	0	0	11	168	129	0	1	31	122	0	122	0	9	161		62.5						
